prcode,active,ldate
0216690,Y   ,32:04.0
0227820,N   ,32:04.2
0239290,N   ,32:04.3
0227149,N   ,32:04.5
0220386,Y   ,32:04.8
0186923,Y   ,32:05.0
0207336,N   ,32:05.2
0051801,Y   ,32:26.5
0122091,Y   ,32:26.8
0081822,Y   ,32:48.1
0220984,Y   ,32:48.4
0099069,Y   ,32:48.7
0127610,Y   ,32:49.0
0128736,Y   ,32:49.2
0220742,N   ,33:10.4
0195236,Y   ,33:10.7
0221916,Y   ,33:10.8
0228258,N   ,33:11.0
0234500,N   ,33:11.2
0205265,Y   ,33:11.4
0138846,Y   ,33:11.7
0202055,Y   ,33:12.0
0173470,Y   ,33:12.3
0216122,N   ,33:33.5
0233346,N   ,33:33.6
0231006,N   ,33:33.8
0209639,Y   ,33:34.1
0232713,N   ,33:34.3
0234435,N   ,33:34.4
0230678,N   ,33:34.6
0154624,Y   ,34:37.9
0231700,N   ,34:38.2
0068020,Y   ,34:38.5
0239073,Y   ,34:38.8
0023030,Y   ,34:39.1
0179451,Y   ,34:39.4
0201841,Y   ,34:39.7
0201942,Y   ,34:40.0
0208133,Y   ,34:40.3
0057447,Y   ,35:01.6
0009937,Y   ,35:01.9
0219492,Y   ,35:02.3
0091087,Y   ,35:02.7
0235218,N   ,35:02.8
0159079,N   ,35:03.0
0230244,N   ,35:24.2
0207788,Y   ,35:45.5
0220387,Y   ,36:06.8
0210404,Y   ,36:07.1
0194327,Y   ,36:07.4
0008362,Y   ,36:07.8
0230683,N   ,36:28.9
0227377,Y   ,36:29.2
0211023,Y   ,36:29.6
0214834,Y   ,36:29.8
0230736,N   ,36:30.0
0160952,Y   ,36:30.3
0192089,Y   ,36:30.5
0242907,N   ,36:51.7
0043876,Y   ,36:52.1
0226189,Y   ,36:52.4
0189063,Y   ,36:52.6
0161246,Y   ,36:52.9
0219301,Y   ,36:53.1
0125633,Y   ,36:53.4
0195671,Y   ,36:53.7
0215935,Y   ,36:54.0
0174031,Y   ,36:54.3
0236100,N   ,36:54.5
0176401,Y   ,36:54.8
0169685,Y   ,36:55.1
0216854,Y   ,36:55.4
0166658,Y   ,37:16.6
0194560,Y   ,37:16.9
0222688,N   ,37:59.1
0100881,Y   ,38:41.4
0239840,Y   ,38:41.8
0224923,N   ,38:42.0
0235316,N   ,38:42.2
0007444,Y   ,39:24.5
0212545,Y   ,39:24.9
0080811,Y   ,39:46.2
0129276,Y   ,39:46.5
0213556,Y   ,39:46.7
0209040,Y   ,39:47.0
0220645,Y   ,39:47.2
0195364,Y   ,39:47.5
0233271,N   ,39:47.5
0206884,Y   ,39:47.8
0212333,Y   ,39:48.2
0234567,Y   ,39:48.4
0218146,Y   ,39:48.7
0070367,Y   ,39:49.0
0238026,Y   ,39:49.4
0218109,Y   ,40:31.7
0201808,Y   ,40:32.0
0093883,Y   ,40:32.3
0144365,Y   ,40:32.6
0224096,Y   ,40:33.0
0232765,N   ,40:54.1
0188502,Y   ,40:54.4
0200449,Y   ,40:54.6
0170870,Y   ,40:54.9
0211927,Y   ,40:55.2
0227402,N   ,41:37.4
0210265,Y   ,41:37.8
0093213,Y   ,41:38.2
0213145,Y   ,41:38.5
0206163,Y   ,41:38.8
0213376,N   ,41:59.9
0221817,Y   ,42:00.2
0233588,N   ,42:00.4
0217350,Y   ,42:00.7
0063444,Y   ,42:00.9
0217638,Y   ,42:01.2
0221049,N   ,42:01.3
0208539,Y   ,42:01.6
0190235,Y   ,42:01.9
0118051,Y   ,42:02.3
0004650,Y   ,42:23.6
0236101,N   ,42:23.7
0243389,N   ,42:23.9
0238510,N   ,42:24.1
0207038,Y   ,42:24.4
0058008,Y   ,42:24.7
0124724,Y   ,42:24.9
0218999,N   ,42:25.1
0233526,N   ,42:25.3
0139032,Y   ,42:25.5
0225038,N   ,42:46.7
0201959,Y   ,42:47.1
0229141,Y   ,42:47.5
0122270,Y   ,43:08.8
0217249,Y   ,43:09.1
0217454,Y   ,43:09.4
0235863,N   ,43:09.6
0173730,Y   ,43:09.8
0070641,Y   ,43:10.0
0220466,Y   ,43:10.2
0217776,Y   ,43:10.5
0214257,Y   ,43:10.8
0238757,N   ,43:10.9
0173842,Y   ,43:11.1
0172225,Y   ,43:11.4
0023007,Y   ,43:11.7
0206516,Y   ,43:12.0
0229082,N   ,43:33.1
0051001,Y   ,43:33.5
0090144,Y   ,43:33.8
0218820,Y   ,43:33.9
0199980,Y   ,43:34.2
0229730,N   ,43:34.4
0198459,Y   ,43:55.7
0218245,Y   ,43:56.0
0199280,Y   ,44:17.3
0218824,Y   ,44:17.6
0217561,Y   ,44:18.0
0190236,Y   ,44:40.2
0218015,Y   ,45:01.5
0210730,Y   ,45:01.9
0136947,Y   ,45:02.2
0133972,Y   ,45:02.4
0242592,N   ,45:02.5
